text,label
"I am scared that I may let my team down.",fear
"I feel nervous before speaking to a large audience.",fear
"I am afraid of making a serious mistake during the exam.",fear
"I feel worried because I have never handled this responsibility before.",fear
"The pressure of this decision makes me feel anxious.",fear
"I am scared about the medical results that are coming soon.",fear
"I feel nervous because my future seems uncertain right now.",fear
"I am afraid that I will forget something important at the last second.",fear
"I feel anxious when I imagine the worst possible outcome.",fear
"I am worried because the deadline is closer than I expected.",fear
"I feel frightened by the amount of competition around me.",fear
"I am scared that I will not meet the expectations placed on me.",fear
"I feel nervous every time my phone rings with an unknown number.",fear
"I am afraid that the problem will get worse before it improves.",fear
"I feel anxious about starting something completely unfamiliar.",fear
"I am worried that I will run out of time in the practical test.",fear
"I feel scared that people will judge me harshly.",fear
"I am frightened because I do not know what to expect.",fear
"I feel nervous about traveling alone for the first time.",fear
"I am afraid of being unprepared when the moment comes.",fear
"I feel anxious because so much depends on this one result.",fear
"I am worried that I might not recover from this setback.",fear
"I feel scared and restless thinking about the future.",fear
"I am frightened that my effort may not be enough.",fear
"I feel nervous each time I open the results portal.",fear
"I am afraid of disappointing people who believe in me.",fear
"I feel anxious because everything seems uncertain tonight.",fear
"I am worried that I may not handle the pressure well.",fear
"I feel scared about walking into the room unprepared.",fear
"I feel so happy after getting positive feedback on my assignment.",joy
"I am joyful because my presentation went really well today.",joy
"Finishing my work early made me feel cheerful and relaxed.",joy
"I feel delighted after hearing the good news this morning.",joy
"I am in a great mood because everything worked out well.",joy
"I feel excited that our team project was selected as the best one.",joy
"I am happy because I finally solved the problem that troubled me.",joy
"I feel cheerful after spending time with my closest friends.",joy
"I am joyful because my hard work is paying off.",joy
"I feel delighted that I can enjoy a calm evening at last.",joy
"I am so happy that my effort was recognized.",joy
"I feel excited about the opportunities ahead of me.",joy
"I am cheerful because I made real progress today.",joy
"I feel joyful after receiving encouraging words from my mentor.",joy
"I am delighted that the event turned out even better than expected.",joy
"I feel happy and energized after a productive day.",joy
"I am excited because I achieved something I once thought was impossible.",joy
"I feel cheerful when I think about how far I have come.",joy
"I am joyful because my family celebrated my success with me.",joy
"I feel delighted after seeing the final result of my work.",joy
"I am happy that the difficult week ended on a positive note.",joy
"I feel excited to start the new opportunity tomorrow.",joy
"I am cheerful because the stress has finally eased.",joy
"I feel joyful when things fall into place after so much effort.",joy
"I am delighted that my plan worked exactly as I hoped.",joy
"I feel happy after receiving kind appreciation from others.",joy
"I am excited because the challenge turned into a success.",joy
"I feel cheerful and light after clearing my pending tasks.",joy
"I am joyful because I did better than I expected.",joy
"I feel delighted when I remember the good news from today.",joy
"I am happy because I can finally breathe and relax.",joy
"I feel excited that something wonderful is about to happen.",joy
"I am cheerful because today felt meaningful and rewarding.",joy
"I feel joyful after reconnecting with people I care about.",joy
"I am delighted to see my goals slowly becoming real.",joy
"I feel happy after hearing that everything is okay.",joy
"I am excited by the progress I made this week.",joy
"I feel cheerful because I handled the challenge well.",joy
"I am joyful after enjoying a peaceful and successful day.",joy
"I feel delighted because the outcome exceeded my expectations.",joy
"I am happy that my confidence is growing again.",joy
"I feel excited and optimistic about what comes next.",joy
"I am joyful because today gave me many reasons to smile.",joy
"I feel deeply grateful for the kindness my friend showed me today.",love
"I really appreciate my family for supporting me during stressful times.",love
"I feel cared for and loved when my friends check on me.",love
"I am thankful for the encouragement my teammate gave me.",love
"The support I received today made me feel warm and appreciated.",love
"I feel loved whenever my sister listens to me patiently.",love
"I am grateful for the mentor who keeps encouraging me to improve.",love
"I feel touched by how much people care about my wellbeing.",love
"I am thankful that someone stayed beside me when I needed help.",love
"I feel appreciated and valued by the people around me.",love
"I am grateful for the quiet support my parents always give me.",love
"I feel loved when my friends remember the small things about me.",love
"I am thankful for the trust my team placed in me.",love
"I feel warmth in my heart when people show genuine care.",love
"I am grateful that I do not have to face everything alone.",love
"I feel deeply appreciated after receiving such thoughtful help.",love
"I am thankful for the kindness that met me on a difficult day.",love
"I feel cared for whenever someone asks if I am okay.",love
"I am grateful for the encouragement that lifted my mood.",love
"I feel loved because the people close to me keep believing in me.",love
"I am thankful that my friend stayed up late to help me.",love
"I feel cherished when my family checks on me during stressful weeks.",love
"I am grateful for the patience people have shown me lately.",love
"I feel deeply supported by the people who understand my struggles.",love
"I am thankful for every act of compassion I received today.",love
"I feel loved and safe in the presence of people I trust.",love
"I am grateful for how gently my mentor guided me.",love
"I feel appreciated when others notice the effort I put in.",love
"I am thankful for the people who stayed kind during my hardest days.",love
"I feel cared for because someone made time to listen.",love
"I am grateful that love can still be felt in small actions.",love
"I feel warmth and affection when my friends include me.",love
"I am thankful that my family stood by me no matter what.",love
"I feel loved when people reassure me during difficult moments.",love
"I am grateful for the person who encouraged me to keep going.",love
"I feel supported by every sincere word of comfort I receive.",love
"I am thankful for the care hidden in simple gestures.",love
"I feel deeply moved by the loyalty of the people around me.",love
"I am grateful for the gentle kindness that eased my stress.",love
"I feel loved and respected by those who truly know me.",love
"I am thankful for the compassion shown to me after my mistake.",love
"I feel appreciated because my efforts were noticed with kindness.",love
"I am grateful for the emotional support that carried me through today.",love
"I feel okay today and nothing is really bothering me.",neutral
"My day has been normal and fairly balanced so far.",neutral
"I feel calm and steady while working on my regular tasks.",neutral
"Things are manageable today and I feel neither too happy nor too upset.",neutral
"I am just fine at the moment and going through my routine.",neutral
"Today feels ordinary and emotionally stable.",neutral
"I feel balanced enough to handle my tasks without stress.",neutral
"Nothing unusual happened and my mood feels steady.",neutral
"I feel calm and neutral about how the day is going.",neutral
"Everything feels pretty standard and manageable right now.",neutral
"I am simply moving through the day without strong emotions.",neutral
"My mood is fairly even and nothing stands out too much.",neutral
"I feel neither excited nor upset just calm and focused.",neutral
"The day has been quiet and emotionally moderate.",neutral
"I feel settled and able to continue with my work.",neutral
"Everything seems okay and under control at the moment.",neutral
"I feel stable enough to keep following my normal schedule.",neutral
"My mind feels clear and my emotions feel balanced.",neutral
"Today has been routine and not particularly emotional.",neutral
"I feel ordinary and composed while doing my work.",neutral
"The situation feels manageable and not too intense.",neutral
"I am doing fine and carrying on with my usual tasks.",neutral
"My mood is neutral and fairly unchanged today.",neutral
"I feel calm enough to focus on what I need to do.",neutral
"The day feels average with no major emotional changes.",neutral
"I am steady and not experiencing strong positive or negative feelings.",neutral
"Things feel normal and I am responding in a balanced way.",neutral
"I feel emotionally even and reasonably clear minded.",neutral
"Nothing has affected me strongly today so I feel neutral.",neutral
"I am handling the day in a quiet and steady way.",neutral
"The overall mood feels moderate and under control.",neutral
"I feel calm and simply focused on finishing my tasks.",neutral
"Today has been plain and emotionally uneventful.",neutral
"I feel composed with no intense reaction to anything right now.",neutral
"My mood is level and fairly predictable today.",neutral
"Everything feels okay and my emotions feel settled.",neutral
"I am going through the day without any strong shift in mood.",neutral
"The environment feels calm and my reaction feels neutral.",neutral
"I feel centered enough to continue normally.",neutral
"The day is steady and emotionally balanced for me.",neutral
"I am feeling average and not pulled strongly in any direction.",neutral
"Things are fine and my emotions feel controlled.",neutral
"I feel calm while quietly following my usual plan.",neutral
"I feel sad and drained after arguing with someone close to me.",sadness
"I feel down because I studied hard but still got poor marks.",sadness
"Lately I have been feeling lonely and emotionally exhausted.",sadness
"I feel heartbroken that my efforts did not work out as expected.",sadness
"I am upset and miserable after hearing the disappointing news.",sadness
"I feel low after another difficult and tiring week.",sadness
"I am sad that all my plans fell apart at once.",sadness
"I feel empty because something important did not work out.",sadness
"I am feeling discouraged and heavy tonight.",sadness
"I feel down after seeing how far behind I have become.",sadness
"I am sad that nobody seemed to understand how I felt.",sadness
"I feel emotionally tired and without much hope today.",sadness
"I am upset that I could not meet my own expectations.",sadness
"I feel gloomy because the results were not what I hoped.",sadness
"I am saddened by how isolated I have felt recently.",sadness
"I feel low because this setback hit me harder than expected.",sadness
"I am feeling sorrow after losing something important to me.",sadness
"I feel disappointed and quietly hurt tonight.",sadness
"I am sad because the effort I gave did not change anything.",sadness
"I feel emotionally worn out by everything that happened.",sadness
"I am upset and discouraged after hearing those words.",sadness
"I feel empty and unmotivated after the long stressful week.",sadness
"I am feeling down because I wanted things to go differently.",sadness
"I feel miserable when I think about how badly this turned out.",sadness
"I am sad and tired of carrying this disappointment.",sadness
"I feel hurt because I was left out once again.",sadness
"I am feeling blue and withdrawn today.",sadness
"I feel downhearted after facing so many small failures.",sadness
"I am saddened by the distance growing between us.",sadness
"I feel hopeless for the moment and that scares me.",sadness
"I am upset that I could not make things better.",sadness
"I feel low and quiet after receiving that message.",sadness
"I am sad because the outcome closed a door I cared about.",sadness
"I feel emotionally drained and close to tears.",sadness
"I am feeling defeated after trying so hard.",sadness
"I feel sorrowful because today reminded me of what I lost.",sadness
"I am disappointed and struggling to lift my mood.",sadness
"I feel down because the support I expected never came.",sadness
"I am sad that I disappointed myself again.",sadness
"I feel lonely even when people are around me.",sadness
"I am upset and fragile after everything that happened.",sadness
"I feel low because nothing seems to be improving right now.",sadness
"I am feeling deeply sad after a day full of setbacks.",sadness
"I was shocked to see how quickly the results were released.",surprise
"I am surprised that the lecturer praised my work in class.",surprise
"The announcement caught me completely off guard.",surprise
"I did not expect to win the competition so I was amazed.",surprise
"I was startled when I suddenly received the internship offer.",surprise
"I am surprised by how different the final result looks.",surprise
"That message came out of nowhere and shocked me.",surprise
"I was amazed to hear my name called as the winner.",surprise
"The sudden change in plans left me surprised.",surprise
"I am still shocked that everything happened so fast.",surprise
"I was caught off guard by the unexpected phone call.",surprise
"I am surprised that the problem was solved so easily.",surprise
"The news took me by surprise this evening.",surprise
"I was startled by how quickly the room reacted.",surprise
"I am amazed that the difficult task became simple in the end.",surprise
"The result was so unexpected that I could not speak.",surprise
"I was surprised to see such a dramatic improvement overnight.",surprise
"That outcome was completely unforeseen and surprising.",surprise
"I am shocked because I never imagined this would happen.",surprise
"The final announcement left me speechless with surprise.",surprise
"I was amazed by the sudden opportunity that appeared.",surprise
"I am surprised that things turned around so quickly.",surprise
"The reaction from everyone caught me off guard.",surprise
"I was startled to find the answer immediately.",surprise
"I am amazed that the event ended in such an unexpected way.",surprise
"The sudden compliment surprised me more than I expected.",surprise
"I was shocked when the email arrived that early.",surprise
"I am surprised by how calm I felt in that moment.",surprise
"That reveal was so sudden that it left me stunned.",surprise
"I was amazed that my first attempt actually worked.",surprise
"I am shocked that the plan succeeded without problems.",surprise
"The unexpected announcement made me freeze for a second.",surprise
"I was surprised when everyone agreed with my suggestion.",surprise
"I am amazed that the outcome was better than I imagined.",surprise
"That sudden update really caught me by surprise.",surprise
"I was startled by the loud cheer after the result was announced.",surprise
"I am surprised that such a small change made a huge difference.",surprise
"The decision was so unexpected that I had to read it twice.",surprise
"I was shocked by the sudden turn of events this morning.",surprise
"I am amazed that my idea was accepted immediately.",surprise
"The final result surprised me in the best possible way.",surprise
"I was startled to hear the unexpected knock at the door.",surprise
